seller_text,store_sales_clean,store_rating,store_reviews_clean,listing_reviews_clean,listing_price_clean,listing_bestseller,listing_title,listing_highlights,url
denisealbrightstudio,8618,4.9554,1458,6,8.97,,"Pull & Place Adhesive Coil Strips | Snap-in, Add-on for DIY Added Pages to Your Reminder Binder® or Gratitude Finder®Journal (6-pack)",['Handmade'],https://www.etsy.com/listing/556538950/pull-place-adhesive-coil-strips-o-snap
mademoiselleyo,4931,4.9581,993,6,16.05,,Floral birthday calendar,"['Handmade', 'Materials: paper, ink\n\n\nRead the full description']",https://www.etsy.com/listing/509723833/floral-birthday-calendar
AlinasCreativeCorner,6907,5,722,5,2.41,,"Password Book, Password Tracker, Password Keeper, Password Organizer, A5 Planner Binder, Household Binder, A5 Printable","['Digital download', 'Digital file type(s): 2 PDF, 1 ZIP']",https://www.etsy.com/listing/505712777/password-book-password-tracker-password
SEWINGtheABCs,3107,4.9776,632,4,15.0,,"FLORAL Mini 3 Ring Binder a5 Planner Binder a5 Binder Cover STRETCH FABRIC, 1"" Mini Binder Planner, Half Size Binder, a5 Ring Binder, small","['Handmade', 'Materials: Floral Stretch Fabric Choice, 4 Way Stretch Fabric\n\n\nRead the full description']",https://www.etsy.com/listing/475944760/floral-mini-3-ring-binder-a5-planner
DoortjeDesign,5314,5,368,0,2.06,,"Printable Meal Planner, Meal Planner Printable, Weekly Menu Plan, Planner Pages Meal, Meal Planner, Shopping list, A4 US, INSTANT DOWNLOAD","['Digital download', 'Digital file type(s): 1 ZIP']",https://www.etsy.com/listing/465796573/printable-meal-planner-meal-planner
PrintThisYourself,192,5,25,0,2.49,,Printable To do list pages. Productivity planner. Printable productivity planner. Priority to do list page. To do list with deadlines.,"['Digital download', 'Digital file type(s): 2 PDF']",https://www.etsy.com/listing/555617745/printable-to-do-list-pages-productivity
LalitasDesigns,794,,121,0,2.99,,Printable Reading Journal Insert for use with Classic Happy Planner and Erin Condren LIFEPLANNER™,"['Digital download', 'Digital file type(s): 1 PDF']",https://www.etsy.com/listing/560920923/printable-reading-journal-insert-for-use
AlineDigitalFantasy,480,5,55,0,2.5,,"Youtube Channel  Printable, Youtube Video Planner, Video Social Media Planner Insert Printable","['Digital download', 'Digital file type(s): 5 PDF']",https://www.etsy.com/listing/568690817/youtube-channel-printable-youtube-video
2eggsProject,1374,4.5,152,0,17.0,,2020 calendar monthly printable – Date calendar with flower cards in pink makes cute planner monthly tabs. Instant download wall calendar,"['Digital download', 'Digital file type(s): 1 File']",https://www.etsy.com/listing/267797359/2020-calendar-monthly-printable-date
EasyLifePlanners,31115,4.8191,2619,0,1.79,,Notes Inserts Printable Big Happy Planner Inserts Letter Size 8.5 x 11,"['Digital download', 'Digital file type(s): 1 PDF']",https://www.etsy.com/listing/489981101/notes-inserts-printable-big-happy
